order_id,order_date,gross_amount,commission_fee,transaction_fee,shipping_subsidy,refund_flag,refund_amount,net_amount
ORD0000064,2025-09-02,285.44,9.07,5.18,6.09,1,165.5,111.78
ORD0000065,2025-09-02,469.35,10.51,8.93,5.81,0,0.0,455.72
ORD0000066,2025-09-02,394.54,16.83,7.05,4.09,0,0.0,374.75
ORD0000067,2025-09-02,250.1,8.26,2.96,6.02,0,0.0,244.9
ORD0000068,2025-09-02,200.65,6.84,3.13,9.35,0,0.0,200.03
ORD0000069,2025-09-02,493.58,12.1,5.44,4.68,0,0.0,480.72
ORD0000070,2025-09-02,364.52,9.27,6.03,1.97,0,0.0,351.19
ORD0000071,2025-09-02,476.57,22.5,9.32,3.77,0,0.0,448.52
ORD0000072,2025-09-02,76.87,1.64,1.16,3.94,0,0.0,78.01
ORD0000073,2025-09-02,428.26,11.56,6.14,1.31,0,0.0,411.87
ORD0000074,2025-09-02,325.8,9.37,3.37,1.63,0,0.0,314.69
ORD0000075,2025-09-02,78.52,2.73,1.54,6.85,0,0.0,81.1
ORD0000076,2025-09-02,302.36,11.37,3.34,3.39,0,0.0,291.04
ORD0000077,2025-09-02,349.33,12.16,3.64,9.55,0,0.0,343.08
ORD0000078,2025-09-02,25.91,0.58,0.32,2.44,0,0.0,27.45
ORD0000079,2025-09-02,238.07,6.5,2.54,0.99,0,0.0,230.02
ORD0000080,2025-09-02,416.19,18.86,6.06,7.54,0,0.0,398.81
ORD0000081,2025-09-02,161.77,6.33,2.45,8.81,0,0.0,161.8
ORD0000082,2025-09-02,240.1,9.48,3.15,2.78,0,0.0,230.25
ORD0000083,2025-09-02,232.31,9.32,2.44,2.02,0,0.0,222.57
ORD0000084,2025-09-02,164.93,7.07,1.83,1.86,0,0.0,157.89
ORD0000085,2025-09-02,460.85,10.02,6.38,5.22,0,0.0,449.67
ORD0000086,2025-09-02,395.02,12.24,4.19,4.68,0,0.0,383.27
ORD0000087,2025-09-02,73.08,2.64,1.24,2.59,0,0.0,71.79
ORD0000088,2025-09-02,498.58,15.03,6.02,0.45,1,20.73,457.25
ORD0000089,2025-09-02,442.02,20.04,5.76,4.81,0,0.0,421.03
ORD0000090,2025-09-02,156.28,5.39,2.18,9.59,0,0.0,158.3
ORD0000091,2025-09-02,421.71,18.16,5.97,6.53,0,0.0,404.11
ORD0000092,2025-09-02,71.08,3.24,0.71,4.96,0,0.0,72.09
ORD0000093,2025-09-02,499.57,17.56,5.56,1.11,0,0.0,477.56
ORD0000094,2025-09-02,339.53,16.06,6.32,2.52,0,0.0,319.67
ORD0000095,2025-09-02,332.06,12.49,3.32,2.95,0,0.0,319.2
ORD0000096,2025-09-02,63.41,2.89,0.96,7.65,0,0.0,67.21
ORD0000097,2025-09-02,450.58,13.62,6.71,8.77,0,0.0,439.02
ORD0000098,2025-09-02,33.92,1.19,0.45,9.02,0,0.0,41.3
ORD0000099,2025-09-02,135.6,4.87,1.94,9.85,0,0.0,138.64
ORD0000100,2025-09-02,88.65,2.05,1.58,9.82,0,0.0,94.84
ORD0000101,2025-09-02,392.85,12.55,7.23,9.53,0,0.0,382.6
ORD0000102,2025-09-02,115.14,5.47,1.45,0.72,0,0.0,108.94
ORD0000103,2025-09-02,457.11,17.79,6.05,1.38,0,0.0,434.65
ORD0000104,2025-09-02,335.01,8.48,4.16,3.04,0,0.0,325.41
ORD0000105,2025-09-02,37.36,1.13,0.55,5.53,0,0.0,41.21
ORD0000106,2025-09-02,22.61,0.58,0.38,0.97,0,0.0,22.62
ORD0000107,2025-09-02,44.8,0.93,0.55,8.46,0,0.0,51.78
ORD0000108,2025-09-02,310.84,14.87,4.14,6.17,0,0.0,298.0
ORD0000109,2025-09-02,404.71,13.54,7.81,5.42,0,0.0,388.78
ORD0000110,2025-09-02,134.51,3.93,1.41,1.65,0,0.0,130.82
ORD0000111,2025-09-02,427.72,16.23,6.25,2.53,0,0.0,407.77
ORD0000112,2025-09-02,47.47,0.96,0.81,1.6,0,0.0,47.3
ORD0000113,2025-09-02,404.46,11.46,4.65,8.52,0,0.0,396.87
ORD0000114,2025-09-02,465.34,19.12,4.87,5.84,0,0.0,447.19
ORD0000115,2025-09-02,390.61,15.24,4.45,7.35,0,0.0,378.27
ORD0000116,2025-09-02,355.1,17.56,6.81,2.96,0,0.0,333.69
ORD0000117,2025-09-02,422.23,16.3,4.26,3.71,0,0.0,405.38
ORD0000118,2025-09-02,39.27,1.35,0.47,4.05,0,0.0,41.5
ORD0000119,2025-09-02,116.86,5.01,1.21,7.6,0,0.0,118.24
ORD0000120,2025-09-02,79.96,3.77,0.89,7.72,1,195.75,-112.73
ORD0000121,2025-09-02,262.17,10.91,4.25,2.07,0,0.0,249.08
ORD0000122,2025-09-02,377.69,18.47,4.69,9.42,0,0.0,363.95
ORD0000123,2025-09-02,322.41,14.01,5.06,1.21,0,0.0,304.55
ORD0000124,2025-09-02,428.54,19.71,6.81,8.96,0,0.0,410.98
ORD0000125,2025-09-02,94.5,2.21,1.75,1.0,0,0.0,91.54
ORD0000126,2025-09-02,372.62,15.64,3.74,2.65,0,0.0,355.89
ORD0000127,2025-09-02,112.66,3.74,2.09,8.46,0,0.0,115.29
ORD0000128,2025-09-02,149.96,5.49,2.43,1.79,0,0.0,143.83
ORD0000129,2025-09-02,360.75,14.29,4.19,4.14,0,0.0,346.41
ORD0000130,2025-09-02,490.5,24.08,8.7,4.5,0,0.0,462.22
ORD0000131,2025-09-02,313.54,15.53,5.82,2.45,0,0.0,294.64
ORD0000132,2025-09-02,46.16,1.32,0.58,7.1,0,0.0,51.36
ORD0000133,2025-09-02,315.83,13.27,6.06,8.51,0,0.0,305.01
ORD0000134,2025-09-02,40.33,1.71,0.59,8.75,0,0.0,46.78
ORD0000135,2025-09-02,444.39,13.51,7.13,3.39,1,86.87,340.27
ORD0000136,2025-09-02,360.6,8.55,7.16,5.31,0,0.0,350.2
ORD0000137,2025-09-02,103.1,2.19,1.4,2.48,0,0.0,101.99
ORD0000138,2025-09-02,64.03,2.77,1.16,2.45,0,0.0,62.55
ORD0000139,2025-09-02,108.1,3.75,1.43,1.61,0,0.0,104.53
ORD0000140,2025-09-02,490.41,24.31,8.82,9.4,0,0.0,466.68
ORD0000141,2025-09-02,240.11,8.15,3.84,8.88,0,0.0,237.0
ORD0000142,2025-09-02,396.36,19.56,4.82,7.77,0,0.0,379.75
ORD0000143,2025-09-02,325.48,10.53,4.6,5.18,0,0.0,315.53
ORD0000144,2025-09-02,294.76,12.91,3.88,4.91,0,0.0,282.88
ORD0000145,2025-09-02,89.66,2.02,0.97,5.3,0,0.0,91.97
ORD0000146,2025-09-02,474.09,17.38,4.88,5.37,0,0.0,457.2
ORD0000147,2025-09-02,164.64,7.25,2.22,4.35,0,0.0,159.52
ORD0000148,2025-09-02,297.45,14.2,3.03,1.32,0,0.0,281.54
ORD0000149,2025-09-02,355.89,15.9,4.15,1.26,0,0.0,337.1
ORD0000150,2025-09-02,331.63,7.0,5.72,9.52,0,0.0,328.43
ORD0000151,2025-09-02,471.49,14.7,8.05,4.82,0,0.0,453.56
ORD0000152,2025-09-02,91.25,1.96,1.59,9.53,0,0.0,97.23
ORD0000153,2025-09-02,264.01,6.15,3.48,1.64,0,0.0,256.02
ORD0000154,2025-09-02,213.94,8.61,4.04,5.54,0,0.0,206.83
ORD0000155,2025-09-02,247.6,10.25,3.95,2.08,0,0.0,235.48
ORD0000156,2025-09-02,77.22,3.34,0.87,2.53,0,0.0,75.54
ORD0000157,2025-09-02,84.37,3.88,0.96,0.3,0,0.0,79.83
ORD0000158,2025-09-02,153.48,6.47,2.6,1.19,1,185.57,-39.97
ORD0000159,2025-09-02,166.26,7.32,1.95,9.17,0,0.0,166.16
ORD0000160,2025-09-02,225.39,4.84,3.4,3.22,0,0.0,220.37
ORD0000161,2025-09-02,313.27,8.47,6.24,6.08,0,0.0,304.64
ORD0000162,2025-09-02,324.62,12.55,3.26,4.65,0,0.0,313.46
ORD0000163,2025-09-02,217.67,9.96,2.21,4.0,0,0.0,209.5
ORD0000164,2025-09-02,216.22,4.35,4.31,5.32,0,0.0,212.88
ORD0000165,2025-09-02,124.46,4.41,1.97,1.87,0,0.0,119.95
ORD0000166,2025-09-02,302.39,12.19,3.41,9.89,0,0.0,296.68
ORD0000167,2025-09-02,172.18,3.6,3.27,8.18,0,0.0,173.49
ORD0000168,2025-09-02,37.31,1.2,0.7,7.42,0,0.0,42.83
ORD0000169,2025-09-02,220.83,10.35,3.39,4.69,0,0.0,211.78
ORD0000170,2025-09-02,247.58,9.94,4.02,1.53,0,0.0,235.15
ORD0000171,2025-09-02,128.28,3.48,1.63,9.21,0,0.0,132.38
ORD0000172,2025-09-02,294.78,13.44,3.1,3.41,0,0.0,281.65
ORD0000173,2025-09-02,291.57,8.88,4.65,0.5,0,0.0,278.54
ORD0000174,2025-09-02,356.96,16.28,4.62,3.42,0,0.0,339.48
ORD0000175,2025-09-02,331.02,9.59,5.51,7.94,1,2.09,321.77
ORD0000176,2025-09-02,333.17,12.56,6.12,6.23,1,157.54,163.18
ORD0000177,2025-09-02,171.78,5.48,1.75,7.51,1,66.81,105.25
ORD0000178,2025-09-02,397.97,11.24,6.35,7.94,0,0.0,388.32
ORD0000179,2025-09-02,283.59,13.21,3.49,2.12,0,0.0,269.01
ORD0000180,2025-09-02,227.08,5.82,4.26,9.24,1,113.45,112.79
ORD0000181,2025-09-02,320.49,7.23,4.02,4.38,0,0.0,313.62
ORD0000182,2025-09-02,193.12,5.84,3.11,6.39,0,0.0,190.56
ORD0000183,2025-09-02,266.11,11.05,4.13,0.02,0,0.0,250.95
ORD0000184,2025-09-02,373.62,16.52,5.22,9.93,0,0.0,361.81
ORD0000185,2025-09-02,445.47,22.26,7.47,2.81,0,0.0,418.55
ORD0000186,2025-09-02,462.11,13.35,7.97,0.62,0,0.0,441.41
ORD0000187,2025-09-02,261.74,8.44,4.1,4.58,0,0.0,253.78
ORD0000188,2025-09-02,269.73,6.5,4.74,1.29,0,0.0,259.78
ORD0000189,2025-09-02,403.94,15.05,8.01,1.52,0,0.0,382.4
ORD0000190,2025-09-02,170.94,8.53,2.43,6.32,0,0.0,166.3
ORD0000191,2025-09-02,421.94,17.31,6.39,3.93,0,0.0,402.17
ORD0000192,2025-09-02,257.19,9.74,2.6,9.22,0,0.0,254.07
ORD0000193,2025-09-02,75.61,2.4,1.36,3.19,0,0.0,75.04
ORD0000194,2025-09-02,54.59,2.59,0.83,7.26,0,0.0,58.43
ORD0000195,2025-09-02,424.16,14.81,5.97,4.61,0,0.0,407.99
ORD0000196,2025-09-02,46.67,1.12,0.51,6.6,0,0.0,51.64
ORD0000197,2025-09-02,154.69,4.79,2.92,6.0,0,0.0,152.98
ORD0000198,2025-09-02,180.38,3.97,2.52,4.73,0,0.0,178.62
ORD0000199,2025-09-02,103.04,2.69,1.73,9.5,0,0.0,108.12
ORD0000200,2025-09-02,170.67,3.5,1.96,3.43,0,0.0,168.64
ORD0000201,2025-09-02,376.49,12.65,7.39,1.77,0,0.0,358.22
ORD0000202,2025-09-02,27.05,1.06,0.32,6.78,1,24.56,7.89
ORD0000203,2025-09-02,417.04,12.64,5.0,8.46,0,0.0,407.86
ORD0000204,2025-09-02,431.14,14.06,8.01,0.4,0,0.0,409.47
ORD0000205,2025-09-02,198.69,9.69,3.8,4.5,0,0.0,189.7
ORD0000206,2025-09-02,93.73,3.99,1.14,8.92,0,0.0,97.52
ORD0000207,2025-09-02,308.4,11.17,4.53,7.5,0,0.0,300.2
ORD0000208,2025-09-02,77.44,2.21,1.34,9.92,0,0.0,83.81
ORD0000209,2025-09-02,195.16,9.15,3.67,5.31,0,0.0,187.65
ORD0000210,2025-09-02,480.05,12.99,6.62,6.6,0,0.0,467.04
ORD0000211,2025-09-02,497.82,14.82,7.55,3.02,0,0.0,478.47
ORD0000212,2025-09-02,390.61,18.46,6.8,9.48,0,0.0,374.83
ORD0000213,2025-09-02,169.26,6.07,2.93,3.66,0,0.0,163.92
ORD0000214,2025-09-02,350.08,14.8,6.24,7.39,0,0.0,336.43
ORD0000215,2025-09-02,358.6,13.53,5.63,4.03,0,0.0,343.47
ORD0000216,2025-09-02,206.16,8.16,2.28,5.62,0,0.0,201.34
ORD0000217,2025-09-02,327.63,9.5,6.24,7.2,0,0.0,319.09
ORD0000218,2025-09-02,25.15,0.69,0.47,5.09,0,0.0,29.08
ORD0000219,2025-09-02,120.35,3.57,2.16,9.07,0,0.0,123.69
ORD0000220,2025-09-02,272.04,6.71,2.99,4.19,0,0.0,266.53
ORD0000221,2025-09-02,98.6,4.56,1.19,6.47,0,0.0,99.32
ORD0000222,2025-09-02,99.64,2.84,1.74,3.42,0,0.0,98.48
ORD0000223,2025-09-02,421.43,15.53,4.31,4.08,0,0.0,405.67
ORD0000224,2025-09-02,494.78,21.65,9.79,4.4,1,189.52,278.22
ORD0000225,2025-09-02,286.87,12.48,3.95,1.26,1,81.59,190.11
ORD0000226,2025-09-02,422.75,14.01,7.27,0.92,0,0.0,402.39
ORD0000227,2025-09-02,495.35,16.98,9.35,6.67,0,0.0,475.69
ORD0000228,2025-09-02,87.97,4.38,1.23,6.56,0,0.0,88.92
ORD0000229,2025-09-02,235.16,9.46,3.1,6.63,0,0.0,229.23
ORD0000230,2025-09-03,324.43,14.74,5.56,2.2,0,0.0,306.33
ORD0000231,2025-09-03,225.93,11.26,3.27,4.64,0,0.0,216.04
ORD0000232,2025-09-03,226.92,10.48,3.05,9.43,0,0.0,222.82
ORD0000233,2025-09-03,37.23,1.74,0.55,7.34,0,0.0,42.28
ORD0000234,2025-09-03,276.61,8.14,3.24,2.15,0,0.0,267.38
ORD0000235,2025-09-03,496.9,15.93,8.93,8.6,0,0.0,480.64
ORD0000236,2025-09-03,480.18,13.47,6.05,3.78,0,0.0,464.44
ORD0000237,2025-09-03,39.39,1.5,0.45,8.52,0,0.0,45.96
ORD0000238,2025-09-03,358.78,17.28,4.47,2.42,0,0.0,339.45
ORD0000239,2025-09-03,164.85,5.0,3.04,6.19,0,0.0,163.0
ORD0000240,2025-09-03,453.43,16.65,6.03,9.27,0,0.0,440.02
ORD0000241,2025-09-03,41.66,1.2,0.7,2.58,0,0.0,42.34
ORD0000242,2025-09-03,469.22,11.77,8.71,6.93,0,0.0,455.67
ORD0000243,2025-09-03,421.99,10.91,4.55,9.87,0,0.0,416.4
ORD0000244,2025-09-03,76.4,1.66,1.35,1.51,0,0.0,74.9
ORD0000245,2025-09-03,48.72,2.36,0.64,0.88,0,0.0,46.6
ORD0000246,2025-09-03,420.66,13.5,5.12,6.74,0,0.0,408.78
ORD0000247,2025-09-03,94.76,4.27,1.6,3.4,0,0.0,92.29
ORD0000248,2025-09-03,276.75,11.19,5.29,0.71,0,0.0,260.98
ORD0000249,2025-09-03,459.56,11.84,5.95,4.75,1,3.18,443.34
ORD0000250,2025-09-03,292.38,7.39,4.59,7.54,0,0.0,287.94
ORD0000251,2025-09-03,210.67,9.35,2.72,2.85,0,0.0,201.45
ORD0000252,2025-09-03,233.61,6.53,3.63,3.35,0,0.0,226.8
ORD0000253,2025-09-03,50.3,2.38,0.82,8.46,0,0.0,55.56
ORD0000254,2025-09-03,485.0,11.74,7.81,5.2,0,0.0,470.65
ORD0000255,2025-09-03,169.11,6.82,2.75,8.43,0,0.0,167.97
ORD0000256,2025-09-03,110.89,4.93,1.26,4.46,0,0.0,109.16
ORD0000257,2025-09-03,157.3,4.26,2.66,9.53,0,0.0,159.91
ORD0000258,2025-09-03,482.9,13.66,8.09,6.51,0,0.0,467.66
ORD0000259,2025-09-03,65.26,3.19,1.1,1.16,0,0.0,62.13
ORD0000260,2025-09-03,436.31,12.19,4.69,8.85,0,0.0,428.28
ORD0000261,2025-09-03,359.77,11.84,5.21,4.89,0,0.0,347.61
ORD0000262,2025-09-03,418.41,13.8,5.9,1.42,0,0.0,400.13
ORD0000263,2025-09-03,488.43,13.48,5.31,1.53,0,0.0,471.17
ORD0000264,2025-09-03,424.23,18.36,5.19,6.88,0,0.0,407.56
ORD0000265,2025-09-03,472.82,20.4,6.81,0.47,0,0.0,446.08
ORD0000266,2025-09-03,80.93,2.54,1.41,2.87,0,0.0,79.85
ORD0000267,2025-09-03,401.98,18.11,4.97,1.4,0,0.0,380.3
ORD0000268,2025-09-03,281.92,7.44,5.16,4.41,0,0.0,273.73
ORD0000269,2025-09-03,280.88,5.65,4.34,4.14,0,0.0,275.03
ORD0000270,2025-09-03,451.48,16.77,7.95,5.22,0,0.0,431.98
ORD0000271,2025-09-03,486.47,24.24,7.16,2.8,0,0.0,457.87
ORD0000272,2025-09-03,358.32,7.58,5.37,0.32,0,0.0,345.69
ORD0000273,2025-09-03,251.81,6.61,4.08,6.14,0,0.0,247.26
ORD0000274,2025-09-03,239.07,8.5,4.61,3.74,0,0.0,229.7
ORD0000275,2025-09-03,205.44,9.1,3.06,6.51,0,0.0,199.79
ORD0000276,2025-09-03,193.57,4.39,2.96,1.09,0,0.0,187.31
ORD0000277,2025-09-03,207.92,6.62,3.33,0.14,0,0.0,198.11
ORD0000278,2025-09-03,63.08,2.68,1.1,2.48,0,0.0,61.78
ORD0000279,2025-09-03,57.17,1.78,0.61,4.57,0,0.0,59.35
ORD0000280,2025-09-03,394.34,10.12,5.98,3.94,0,0.0,382.18
ORD0000281,2025-09-03,234.11,6.06,3.47,8.1,0,0.0,232.68
ORD0000282,2025-09-03,466.73,15.08,8.97,3.78,0,0.0,446.46
ORD0000283,2025-09-03,313.87,10.79,4.69,5.3,0,0.0,303.69
ORD0000284,2025-09-03,36.88,1.69,0.54,5.94,1,126.69,-86.1
ORD0000285,2025-09-03,95.61,3.75,1.88,0.22,0,0.0,90.2
ORD0000286,2025-09-03,118.79,4.84,1.72,5.15,0,0.0,117.38
ORD0000287,2025-09-03,488.35,24.17,5.77,3.45,0,0.0,461.86
ORD0000288,2025-09-03,124.98,4.04,1.52,4.21,0,0.0,123.63
ORD0000289,2025-09-03,267.56,8.59,2.93,1.0,0,0.0,257.04
ORD0000290,2025-09-03,469.36,22.39,4.7,7.83,0,0.0,450.1
ORD0000291,2025-09-03,489.05,13.39,7.0,9.42,0,0.0,478.08
ORD0000292,2025-09-03,133.45,5.59,2.36,0.22,0,0.0,125.72
ORD0000293,2025-09-03,43.58,1.86,0.76,6.01,0,0.0,46.97
ORD0000294,2025-09-03,93.73,2.15,0.97,7.64,0,0.0,98.25
ORD0000295,2025-09-03,50.4,1.72,0.79,2.85,0,0.0,50.74
ORD0000296,2025-09-03,113.66,2.96,1.31,7.88,0,0.0,117.27
ORD0000297,2025-09-03,292.91,7.49,5.69,6.32,1,32.92,253.13
ORD0000298,2025-09-03,457.98,15.53,5.35,9.29,0,0.0,446.39
ORD0000299,2025-09-03,277.87,7.97,4.52,9.81,0,0.0,275.19
ORD0000300,2025-09-03,320.47,14.06,4.25,0.42,0,0.0,302.58
ORD0000301,2025-09-03,116.9,5.52,1.92,4.45,0,0.0,113.91
ORD0000302,2025-09-03,404.28,17.82,5.71,5.47,0,0.0,386.22
ORD0000303,2025-09-03,316.54,8.86,5.57,1.47,0,0.0,303.58
ORD0000304,2025-09-03,434.79,12.27,5.35,3.36,0,0.0,420.53
ORD0000305,2025-09-03,475.44,13.14,9.06,9.88,0,0.0,463.12
ORD0000306,2025-09-03,186.99,4.5,2.81,0.16,0,0.0,179.84
ORD0000307,2025-09-03,63.48,3.07,1.11,4.53,0,0.0,63.83
ORD0000308,2025-09-03,128.45,4.12,2.38,8.43,0,0.0,130.38
ORD0000309,2025-09-03,230.16,6.15,4.6,3.24,0,0.0,222.65
ORD0000310,2025-09-03,473.93,21.52,5.8,4.8,0,0.0,451.41
ORD0000311,2025-09-03,201.59,6.45,2.59,9.78,0,0.0,202.33
ORD0000312,2025-09-03,389.97,8.21,4.88,4.75,0,0.0,381.63
ORD0000313,2025-09-03,279.43,6.95,3.53,1.31,0,0.0,270.26
ORD0000314,2025-09-03,107.75,4.22,1.71,0.52,1,55.36,46.98
ORD0000315,2025-09-03,173.95,7.56,3.47,9.45,0,0.0,172.37
ORD0000316,2025-09-03,333.53,8.78,6.64,2.66,0,0.0,320.77
ORD0000317,2025-09-03,342.97,16.3,5.24,5.04,0,0.0,326.47
ORD0000318,2025-09-03,228.68,10.41,3.75,0.91,0,0.0,215.43
ORD0000319,2025-09-03,129.75,5.9,2.41,4.24,0,0.0,125.68
ORD0000320,2025-09-03,366.52,9.83,7.08,9.3,0,0.0,358.91
ORD0000321,2025-09-03,101.06,2.17,1.22,5.02,0,0.0,102.69
ORD0000322,2025-09-03,469.6,21.61,7.18,9.71,0,0.0,450.52
ORD0000323,2025-09-03,110.19,3.21,2.02,2.59,0,0.0,107.55
ORD0000324,2025-09-03,71.51,2.76,0.93,5.05,0,0.0,72.87
ORD0000325,2025-09-03,258.87,11.08,3.73,8.6,0,0.0,252.66
ORD0000326,2025-09-03,269.38,6.42,5.35,4.48,0,0.0,262.09
ORD0000327,2025-09-03,263.93,11.46,5.24,2.79,0,0.0,250.02
ORD0000328,2025-09-03,229.6,11.06,4.38,8.55,0,0.0,222.71
ORD0000329,2025-09-03,497.51,20.82,8.95,3.9,0,0.0,471.64
ORD0000330,2025-09-03,253.41,8.42,3.22,5.31,0,0.0,247.08
ORD0000331,2025-09-03,249.41,11.55,3.29,9.77,1,11.03,233.31
ORD0000332,2025-09-03,222.45,7.97,3.44,1.86,0,0.0,212.9
ORD0000333,2025-09-03,52.08,2.21,0.81,3.01,0,0.0,52.07
ORD0000334,2025-09-03,304.62,13.59,4.59,0.31,0,0.0,286.75
ORD0000335,2025-09-03,129.42,5.5,2.12,3.92,0,0.0,125.72
ORD0000336,2025-09-03,326.05,9.34,4.59,2.0,0,0.0,314.12
ORD0000337,2025-09-03,44.4,1.04,0.78,6.8,0,0.0,49.38
ORD0000338,2025-09-03,491.07,13.33,6.55,1.81,0,0.0,473.0
ORD0000339,2025-09-03,245.12,8.6,3.26,6.75,0,0.0,240.01
ORD0000340,2025-09-03,450.44,15.84,5.08,2.63,0,0.0,432.15
ORD0000341,2025-09-03,248.27,9.3,2.95,3.55,0,0.0,239.57
ORD0000342,2025-09-03,48.96,1.56,0.91,3.49,0,0.0,49.98
ORD0000343,2025-09-03,414.66,18.08,6.0,7.17,0,0.0,397.75
ORD0000344,2025-09-03,331.13,15.69,4.07,4.67,0,0.0,316.04
ORD0000345,2025-09-03,395.24,10.83,6.95,3.61,0,0.0,381.07
ORD0000346,2025-09-03,225.52,9.49,3.5,8.53,0,0.0,221.06
ORD0000347,2025-09-03,326.21,13.16,3.33,5.72,0,0.0,315.44
