batch_id,bank_trx_id,match_label
BATCH000018,BANK0000043,0
BATCH000021,BANK0000026,0
BATCH000056,BANK0000033,0
BATCH000039,BANK0000008,0
BATCH000033,BANK0000047,0
BATCH000019,BANK0000022,0
BATCH000011,BANK0000018,0
BATCH000017,BANK0000046,0
BATCH000035,BANK0000008,0
BATCH000033,BANK0000070,0
BATCH000065,BANK0000003,0
BATCH000015,BANK0000033,0
BATCH000047,BANK0000043,0
BATCH000069,BANK0000051,0
BATCH000031,BANK0000029,0
BATCH000012,BANK0000040,0
BATCH000061,BANK0000067,0
BATCH000008,BANK0000047,0
BATCH000013,BANK0000069,0
BATCH000063,BANK0000043,0
BATCH000049,BANK0000012,0
BATCH000020,BANK0000060,0
BATCH000001,BANK0000070,0
BATCH000062,BANK0000003,0
BATCH000004,BANK0000011,0
BATCH000065,BANK0000026,0
BATCH000058,BANK0000008,0
BATCH000033,BANK0000010,0
BATCH000014,BANK0000009,0
BATCH000054,BANK0000051,0
BATCH000033,BANK0000062,0
BATCH000056,BANK0000069,0
BATCH000069,BANK0000032,0
BATCH000011,BANK0000004,0
BATCH000063,BANK0000045,0
BATCH000037,BANK0000022,0
BATCH000045,BANK0000020,0
BATCH000010,BANK0000047,0
BATCH000067,BANK0000064,0
BATCH000033,BANK0000044,0
BATCH000034,BANK0000041,0
BATCH000018,BANK0000062,0
BATCH000052,BANK0000045,0
BATCH000013,BANK0000048,0
BATCH000016,BANK0000051,0
BATCH000007,BANK0000020,0
BATCH000049,BANK0000069,0
BATCH000072,BANK0000067,0
BATCH000011,BANK0000013,0
BATCH000016,BANK0000050,0
BATCH000026,BANK0000008,0
BATCH000065,BANK0000010,0
BATCH000051,BANK0000003,0
BATCH000023,BANK0000020,0
BATCH000003,BANK0000044,0
BATCH000043,BANK0000032,0
BATCH000052,BANK0000005,0
BATCH000024,BANK0000023,0
BATCH000012,BANK0000028,0
BATCH000053,BANK0000001_DUP,0
BATCH000009,BANK0000047,0
BATCH000030,BANK0000040,0
BATCH000075,BANK0000042,0
BATCH000002,BANK0000016,0
BATCH000016,BANK0000016,0
BATCH000072,BANK0000031,0
BATCH000025,BANK0000021,0
BATCH000041,BANK0000029,0
BATCH000066,BANK0000059,0
BATCH000060,BANK0000044,0
BATCH000002,BANK0000010,0
BATCH000028,BANK0000031,0
BATCH000007,BANK0000036,0
BATCH000066,BANK0000008,0
BATCH000052,BANK0000033,0
BATCH000040,BANK0000002,0
BATCH000056,BANK0000050,0
BATCH000005,BANK0000031,0
BATCH000040,BANK0000065,0
BATCH000031,BANK0000013,0
BATCH000051,BANK0000057,0
BATCH000006,BANK0000010,0
BATCH000042,BANK0000018,0
BATCH000072,BANK0000033,0
BATCH000008,BANK0000037,0
BATCH000025,BANK0000068,0
BATCH000016,BANK0000061,0
BATCH000057,BANK0000053,0
BATCH000028,BANK0000070,0
BATCH000042,BANK0000002,0
BATCH000006,BANK0000048,0
BATCH000074,BANK0000044,0
BATCH000068,BANK0000050,0
BATCH000066,BANK0000020,0
BATCH000072,BANK0000028,0
BATCH000008,BANK0000022,0
BATCH000048,BANK0000068,0
BATCH000067,BANK0000023_DUP,0
BATCH000041,BANK0000005,0
BATCH000049,BANK0000030,0
BATCH000069,BANK0000012,0
BATCH000021,BANK0000021,0
BATCH000016,BANK0000023,0
BATCH000056,BANK0000044,0
BATCH000018,BANK0000015,0
BATCH000065,BANK0000017,0
BATCH000047,BANK0000048,0
BATCH000075,BANK0000044,0
BATCH000069,BANK0000057,0
BATCH000051,BANK0000015,0
BATCH000050,BANK0000013,0
BATCH000027,BANK0000023_DUP,0
BATCH000008,BANK0000056,0
BATCH000067,BANK0000055,0
BATCH000047,BANK0000061,0
BATCH000031,BANK0000016,0
BATCH000024,BANK0000059,0
BATCH000020,BANK0000059,0
BATCH000051,BANK0000065,0
BATCH000040,BANK0000014,0
BATCH000037,BANK0000023,0
BATCH000072,BANK0000025,0
BATCH000014,BANK0000052,0
BATCH000036,BANK0000019,0
BATCH000052,BANK0000006,0
BATCH000053,BANK0000011,0
BATCH000024,BANK0000040,0
BATCH000071,BANK0000041,0
BATCH000006,BANK0000033,0
BATCH000041,BANK0000051,0
BATCH000032,BANK0000017,0
BATCH000039,BANK0000041,0
BATCH000040,BANK0000024,0
BATCH000025,BANK0000029,0
BATCH000069,BANK0000068,0
BATCH000031,BANK0000033,0
BATCH000074,BANK0000018,0
BATCH000063,BANK0000010,0
BATCH000032,BANK0000055,0
BATCH000069,BANK0000065,0
BATCH000074,BANK0000032,0
BATCH000031,BANK0000046,0
BATCH000065,BANK0000066,0
BATCH000014,BANK0000017,0
BATCH000067,BANK0000020,0
BATCH000065,BANK0000016,0
BATCH000024,BANK0000067,0
BATCH000031,BANK0000017,0
BATCH000036,BANK0000059,0
BATCH000048,BANK0000046,0
BATCH000026,BANK0000005,0
BATCH000012,BANK0000065,0
BATCH000052,BANK0000028,0
BATCH000066,BANK0000032,0
BATCH000031,BANK0000042,0
BATCH000072,BANK0000043,0
BATCH000010,BANK0000065,0
BATCH000021,BANK0000044,0
BATCH000037,BANK0000059,0
BATCH000014,BANK0000027,0
BATCH000064,BANK0000069,0
BATCH000001,BANK0000066,0
BATCH000024,BANK0000018,0
BATCH000018,BANK0000049,0
BATCH000057,BANK0000006,0
BATCH000051,BANK0000030,0
BATCH000007,BANK0000042,0
BATCH000068,BANK0000039,0
BATCH000039,BANK0000018,0
BATCH000046,BANK0000023,0
BATCH000065,BANK0000013,0
BATCH000042,BANK0000069,0
BATCH000040,BANK0000065,0
BATCH000008,BANK0000063,0
BATCH000029,BANK0000024,0
BATCH000072,BANK0000054,0
BATCH000017,BANK0000042,0
BATCH000034,BANK0000042,0
BATCH000027,BANK0000002,0
BATCH000028,BANK0000022,0
BATCH000045,BANK0000060,0
BATCH000074,BANK0000068,0
BATCH000074,BANK0000018,0
BATCH000024,BANK0000066,0
BATCH000075,BANK0000068,0
BATCH000029,BANK0000032,0
BATCH000036,BANK0000005,0
BATCH000013,BANK0000038,0
BATCH000008,BANK0000030,0
BATCH000012,BANK0000047,0
BATCH000029,BANK0000005,0
BATCH000058,BANK0000024,0
BATCH000047,BANK0000006,0
BATCH000045,BANK0000002,0
BATCH000023,BANK0000025,0
BATCH000059,BANK0000038,0
BATCH000047,BANK0000065,0
BATCH000039,BANK0000005,0
BATCH000003,BANK0000040,0
BATCH000014,BANK0000067,0
BATCH000044,BANK0000070,0
BATCH000017,BANK0000023,0
BATCH000011,BANK0000048,0
BATCH000036,BANK0000001,0
BATCH000064,BANK0000059,0
BATCH000047,BANK0000023_DUP,0
BATCH000025,BANK0000035,0
BATCH000007,BANK0000010,0
BATCH000043,BANK0000020,0
BATCH000008,BANK0000004,0
BATCH000055,BANK0000003,0
BATCH000001,BANK0000034,0
BATCH000051,BANK0000039,0
BATCH000016,BANK0000020,0
BATCH000032,BANK0000052,0
BATCH000067,BANK0000034,0
BATCH000019,BANK0000018,0
BATCH000072,BANK0000023,0
BATCH000004,BANK0000004,0
BATCH000006,BANK0000068,0
BATCH000056,BANK0000024,0
BATCH000057,BANK0000042,0
BATCH000059,BANK0000051,0
BATCH000054,BANK0000013,0
BATCH000059,BANK0000044,0
BATCH000055,BANK0000022,0
BATCH000046,BANK0000054,0
BATCH000075,BANK0000012,0
BATCH000013,BANK0000033,0
BATCH000016,BANK0000035,0
BATCH000024,BANK0000015,0
BATCH000048,BANK0000003,0
BATCH000035,BANK0000031,0
BATCH000066,BANK0000025,0
BATCH000038,BANK0000044,0
BATCH000016,BANK0000059,0
BATCH000034,BANK0000019,0
BATCH000023,BANK0000027,0
BATCH000038,BANK0000001,0
BATCH000013,BANK0000051,0
BATCH000050,BANK0000059,0
BATCH000037,BANK0000006,0
BATCH000068,BANK0000050,0
BATCH000067,BANK0000052,0
BATCH000039,BANK0000031,0
BATCH000042,BANK0000050,0
BATCH000005,BANK0000059,0
BATCH000007,BANK0000041,0
BATCH000038,BANK0000023_DUP,0
BATCH000018,BANK0000020,0
BATCH000050,BANK0000028,0
BATCH000024,BANK0000001,0
BATCH000038,BANK0000016,0
BATCH000056,BANK0000066,0
BATCH000004,BANK0000064,0
BATCH000050,BANK0000037,0
BATCH000060,BANK0000025,0
BATCH000053,BANK0000040,0
BATCH000028,BANK0000049,0
BATCH000056,BANK0000029,0
BATCH000002,BANK0000027,0
BATCH000044,BANK0000004,0
BATCH000021,BANK0000025,0
BATCH000016,BANK0000007,0
BATCH000016,BANK0000006,0
BATCH000025,BANK0000046,0
BATCH000059,BANK0000058,0
BATCH000029,BANK0000021,0
BATCH000011,BANK0000068,0
BATCH000052,BANK0000029,0
BATCH000071,BANK0000001,0
BATCH000019,BANK0000052,0
BATCH000070,BANK0000063,0
BATCH000016,BANK0000048,0
BATCH000015,BANK0000047,0
BATCH000023,BANK0000040,0
BATCH000054,BANK0000036,0
BATCH000046,BANK0000004,0
BATCH000065,BANK0000036,0
BATCH000053,BANK0000062,0
BATCH000047,BANK0000012,0
BATCH000009,BANK0000006,0
BATCH000054,BANK0000021,0
BATCH000010,BANK0000053,0
BATCH000073,BANK0000017,0
BATCH000019,BANK0000010,0
BATCH000001,BANK0000067,0
BATCH000062,BANK0000065,0
BATCH000017,BANK0000040,0
BATCH000002,BANK0000046,0
BATCH000073,BANK0000040,0
BATCH000015,BANK0000006,0
BATCH000019,BANK0000050,0
